date,base,quote,rate
2025-06-24,PLN,RUB,21.381
2025-06-25,PLN,RUB,21.4154
2025-06-26,PLN,RUB,21.638
2025-06-27,PLN,RUB,21.7056
2025-06-28,PLN,RUB,21.681
2025-06-29,PLN,RUB,21.6866
2025-06-30,PLN,RUB,21.7046
2025-07-01,PLN,RUB,21.7704
2025-07-02,PLN,RUB,21.8052
2025-07-03,PLN,RUB,21.8697
2025-07-04,PLN,RUB,21.906
2025-07-05,PLN,RUB,21.8712
2025-07-06,PLN,RUB,21.8726
2025-07-07,PLN,RUB,21.757
2025-07-08,PLN,RUB,21.6727
2025-07-09,PLN,RUB,21.6022
2025-07-10,PLN,RUB,21.2824
2025-07-11,PLN,RUB,21.3678
2025-07-12,PLN,RUB,21.3837
2025-07-13,PLN,RUB,21.3824
2025-07-14,PLN,RUB,21.4027
2025-07-15,PLN,RUB,21.3432
2025-07-16,PLN,RUB,21.3366
2025-07-17,PLN,RUB,21.2966
2025-07-18,PLN,RUB,21.4282
2025-07-19,PLN,RUB,21.5026
2025-07-20,PLN,RUB,21.5044
2025-07-21,PLN,RUB,21.5268
2025-07-22,PLN,RUB,21.5854
2025-07-23,PLN,RUB,21.6666
2025-07-24,PLN,RUB,21.8386
2025-07-25,PLN,RUB,21.9296
2025-07-26,PLN,RUB,21.9448
2025-07-27,PLN,RUB,21.9436
2025-07-28,PLN,RUB,21.996
2025-07-29,PLN,RUB,22.0863
2025-07-30,PLN,RUB,21.8885
2025-07-31,PLN,RUB,21.5912
2025-08-01,PLN,RUB,21.605
2025-08-02,PLN,RUB,21.6866
2025-08-03,PLN,RUB,21.6758
2025-08-04,PLN,RUB,21.5957
2025-08-05,PLN,RUB,21.6065
2025-08-06,PLN,RUB,21.7376
2025-08-07,PLN,RUB,21.7392
2025-08-08,PLN,RUB,21.8432
2025-08-09,PLN,RUB,21.9325
2025-08-10,PLN,RUB,21.926
2025-08-11,PLN,RUB,21.793
2025-08-12,PLN,RUB,21.7734
2025-08-13,PLN,RUB,21.8714
2025-08-14,PLN,RUB,21.8307
2025-08-15,PLN,RUB,21.9484
2025-08-16,PLN,RUB,22.0192
2025-08-17,PLN,RUB,22.0116
2025-08-18,PLN,RUB,22.045
2025-08-19,PLN,RUB,22.1624
2025-08-20,PLN,RUB,22.0738
2025-08-21,PLN,RUB,22.0252
2025-08-22,PLN,RUB,22.0342
2025-08-23,PLN,RUB,22.1352
2025-08-24,PLN,RUB,22.1156
2025-08-25,PLN,RUB,22.0554
2025-08-26,PLN,RUB,22.0024
2025-08-27,PLN,RUB,21.8922
2025-08-28,PLN,RUB,21.9849
2025-08-29,PLN,RUB,22.0189
2025-08-30,PLN,RUB,21.9455
2025-08-31,PLN,RUB,21.926
2025-09-01,PLN,RUB,22.1325
2025-09-02,PLN,RUB,22.0445
2025-09-03,PLN,RUB,22.119
2025-09-04,PLN,RUB,22.2418
2025-09-05,PLN,RUB,22.3855
2025-09-06,PLN,RUB,22.4052
2025-09-07,PLN,RUB,22.4018
2025-09-08,PLN,RUB,22.6426
2025-09-09,PLN,RUB,23.0042
2025-09-10,PLN,RUB,23.1878
2025-09-11,PLN,RUB,23.2924
2025-09-12,PLN,RUB,23.1977
2025-09-13,PLN,RUB,23.1718
2025-09-14,PLN,RUB,23.1581
2025-09-15,PLN,RUB,22.9477
2025-09-16,PLN,RUB,23.0772
2025-09-17,PLN,RUB,23.252
2025-09-18,PLN,RUB,23.119
2025-09-19,PLN,RUB,23.0084
2025-09-20,PLN,RUB,23.0072
2025-09-21,PLN,RUB,23.0082
2025-09-22,PLN,RUB,23.1081
2025-09-23,PLN,RUB,23.1828
2025-09-24,PLN,RUB,23.0952
2025-09-25,PLN,RUB,23.0012
2025-09-26,PLN,RUB,22.8938
2025-09-27,PLN,RUB,22.8654
2025-09-28,PLN,RUB,22.8638
2025-09-29,PLN,RUB,22.8252
2025-09-30,PLN,RUB,22.7667
2025-10-01,PLN,RUB,22.6248
2025-10-02,PLN,RUB,22.576
2025-10-03,PLN,RUB,22.6728
2025-10-04,PLN,RUB,22.7098
2025-10-05,PLN,RUB,22.7061
2025-10-06,PLN,RUB,22.7854
2025-10-07,PLN,RUB,22.5942
2025-10-08,PLN,RUB,22.314
2025-10-09,PLN,RUB,22.163
2025-10-10,PLN,RUB,22.1335
2025-10-11,PLN,RUB,22.2458
2025-10-12,PLN,RUB,22.218
2025-10-13,PLN,RUB,22.0052
2025-10-14,PLN,RUB,21.7482
2025-10-15,PLN,RUB,21.5706
2025-10-16,PLN,RUB,21.8567
2025-10-17,PLN,RUB,22.2787
2025-10-18,PLN,RUB,22.2874
2025-10-19,PLN,RUB,22.2914
2025-10-20,PLN,RUB,22.2798
2025-10-21,PLN,RUB,22.2447
2025-10-22,PLN,RUB,22.3472
2025-10-23,PLN,RUB,22.3205
2025-10-24,PLN,RUB,22.1006
2025-10-25,PLN,RUB,21.842
2025-10-26,PLN,RUB,21.8472
2025-10-27,PLN,RUB,21.8814
2025-10-28,PLN,RUB,21.8848
2025-10-29,PLN,RUB,21.8592
2025-10-30,PLN,RUB,21.8632
2025-10-31,PLN,RUB,21.8775
2025-11-01,PLN,RUB,21.907
2025-11-02,PLN,RUB,21.9074
2025-11-03,PLN,RUB,21.9218
2025-11-04,PLN,RUB,21.8642
2025-11-05,PLN,RUB,21.9046
2025-11-06,PLN,RUB,22.0272
2025-11-07,PLN,RUB,22.0653
2025-11-08,PLN,RUB,22.0862
2025-11-09,PLN,RUB,22.0871
2025-11-10,PLN,RUB,22.144
2025-11-11,PLN,RUB,22.1969
2025-11-12,PLN,RUB,22.209
2025-11-13,PLN,RUB,22.203
2025-11-14,PLN,RUB,22.2268
2025-11-15,PLN,RUB,22.2303
2025-11-16,PLN,RUB,22.2322
2025-11-17,PLN,RUB,22.2724
2025-11-18,PLN,RUB,22.1868
2025-11-19,PLN,RUB,22.0486
2025-11-20,PLN,RUB,21.8744
2025-11-21,PLN,RUB,21.5693
2025-11-22,PLN,RUB,21.4881
2025-11-23,PLN,RUB,21.4866
2025-11-24,PLN,RUB,21.415
2025-11-25,PLN,RUB,21.498
2025-11-26,PLN,RUB,21.5455
2025-11-27,PLN,RUB,21.4424
2025-11-28,PLN,RUB,21.2894
2025-11-29,PLN,RUB,21.2116
2025-11-30,PLN,RUB,21.2174
2025-12-01,PLN,RUB,21.3272
2025-12-02,PLN,RUB,21.2694
2025-12-03,PLN,RUB,21.2889
2025-12-04,PLN,RUB,21.1163
2025-12-05,PLN,RUB,21.0074
2025-12-06,PLN,RUB,21.0618
2025-12-07,PLN,RUB,21.0642
2025-12-08,PLN,RUB,21.0796
2025-12-09,PLN,RUB,21.1348
2025-12-10,PLN,RUB,21.438
2025-12-11,PLN,RUB,21.9729
2025-12-12,PLN,RUB,22.149
2025-12-13,PLN,RUB,22.2516
2025-12-14,PLN,RUB,22.2438
2025-12-15,PLN,RUB,22.1
2025-12-16,PLN,RUB,22.1422
2025-12-17,PLN,RUB,22.2784
2025-12-18,PLN,RUB,22.3419
2025-12-19,PLN,RUB,22.3742
2025-12-20,PLN,RUB,22.4044
2025-12-21,PLN,RUB,22.4046
2025-12-22,PLN,RUB,22.1344
2025-12-23,PLN,RUB,21.875
2025-12-24,PLN,RUB,21.9197
2025-12-25,PLN,RUB,21.9534
2025-12-26,PLN,RUB,22.0566
2025-12-27,PLN,RUB,22.074
2025-12-28,PLN,RUB,22.0736
2025-12-29,PLN,RUB,21.85
2025-12-30,PLN,RUB,21.9578
2025-12-31,PLN,RUB,22.1341
2026-01-01,PLN,RUB,21.97
2026-01-02,PLN,RUB,22.1578
2026-01-03,PLN,RUB,22.3574
2026-01-04,PLN,RUB,22.36
2026-01-05,PLN,RUB,22.3935
2026-01-06,PLN,RUB,22.4767
2026-01-07,PLN,RUB,22.3553
2026-01-08,PLN,RUB,22.304
2026-01-09,PLN,RUB,21.9934
2026-01-10,PLN,RUB,21.8295
2026-01-11,PLN,RUB,21.8261
2026-01-12,PLN,RUB,21.7878
2026-01-13,PLN,RUB,21.7526
2026-01-14,PLN,RUB,21.7276
2026-01-15,PLN,RUB,21.6457
2026-01-16,PLN,RUB,21.454
2026-01-17,PLN,RUB,21.4422
2026-01-18,PLN,RUB,21.4394
2026-01-19,PLN,RUB,21.4022
2026-01-20,PLN,RUB,21.5434
2026-01-21,PLN,RUB,21.4816
2026-01-22,PLN,RUB,21.2236
2026-01-23,PLN,RUB,21.2005
2026-01-24,PLN,RUB,21.22
2026-01-25,PLN,RUB,21.22
2026-01-26,PLN,RUB,21.4298
2026-01-27,PLN,RUB,21.7014
2026-01-28,PLN,RUB,21.7527
2026-01-29,PLN,RUB,21.5683
2026-01-30,PLN,RUB,21.3907
2026-01-31,PLN,RUB,21.3658
2026-02-01,PLN,RUB,21.3718
2026-02-02,PLN,RUB,21.4615
2026-02-03,PLN,RUB,21.4774
2026-02-04,PLN,RUB,21.453
2026-02-05,PLN,RUB,21.388
2026-02-06,PLN,RUB,21.5101
2026-02-07,PLN,RUB,21.5766
2026-02-08,PLN,RUB,21.5758
2026-02-09,PLN,RUB,21.7372
2026-02-10,PLN,RUB,21.819
2026-02-11,PLN,RUB,21.7909
2026-02-12,PLN,RUB,21.7448
2026-02-13,PLN,RUB,21.6836
2026-02-14,PLN,RUB,21.6036
2026-02-15,PLN,RUB,21.6155
2026-02-16,PLN,RUB,21.6486
2026-02-17,PLN,RUB,21.5242
2026-02-18,PLN,RUB,21.4658
2026-02-19,PLN,RUB,21.4164
2026-02-20,PLN,RUB,21.3948
2026-02-21,PLN,RUB,21.4112
2026-02-22,PLN,RUB,21.4152
2026-02-23,PLN,RUB,21.473
2026-02-24,PLN,RUB,21.3994
2026-02-25,PLN,RUB,21.4761
2026-02-26,PLN,RUB,21.5458
2026-02-27,PLN,RUB,21.5773
2026-02-28,PLN,RUB,21.6375
2026-03-01,PLN,RUB,21.6304
2026-03-02,PLN,RUB,21.4641
2026-03-03,PLN,RUB,21.1199
2026-03-04,PLN,RUB,21.1406
2026-03-05,PLN,RUB,21.2714
2026-03-06,PLN,RUB,21.4152
2026-03-07,PLN,RUB,21.4883
2026-03-08,PLN,RUB,21.489
