date,base,quote,rate
2025-08-05,KGS,INR,1.00422
2025-08-06,KGS,INR,1.00322
2025-08-07,KGS,INR,1.00138
2025-08-08,KGS,INR,1.0017
2025-08-09,KGS,INR,1.00291
2025-08-10,KGS,INR,1.0028
2025-08-11,KGS,INR,1.00215
2025-08-12,KGS,INR,1.00288
2025-08-13,KGS,INR,1.00192
2025-08-14,KGS,INR,1.00244
2025-08-15,KGS,INR,1.00188
2025-08-16,KGS,INR,1.00152
2025-08-17,KGS,INR,1.00155
2025-08-18,KGS,INR,0.999965
2025-08-19,KGS,INR,0.996544
2025-08-20,KGS,INR,0.995533
2025-08-21,KGS,INR,0.996946
2025-08-22,KGS,INR,0.999378
2025-08-23,KGS,INR,0.999146
2025-08-24,KGS,INR,0.999162
2025-08-25,KGS,INR,1.00136
2025-08-26,KGS,INR,1.00334
2025-08-27,KGS,INR,1.00408
2025-08-28,KGS,INR,1.00289
2025-08-29,KGS,INR,1.00753
2025-08-30,KGS,INR,1.00886
2025-08-31,KGS,INR,1.00888
2025-09-01,KGS,INR,1.00838
2025-09-02,KGS,INR,1.00774
2025-09-03,KGS,INR,1.00744
2025-09-04,KGS,INR,1.00809
2025-09-05,KGS,INR,1.00848
2025-09-06,KGS,INR,1.00856
2025-09-07,KGS,INR,1.00858
2025-09-08,KGS,INR,1.00675
2025-09-09,KGS,INR,1.00797
2025-09-10,KGS,INR,1.00752
2025-09-11,KGS,INR,1.00954
2025-09-12,KGS,INR,1.00966
2025-09-13,KGS,INR,1.00948
2025-09-14,KGS,INR,1.00948
2025-09-15,KGS,INR,1.00841
2025-09-16,KGS,INR,1.00656
2025-09-17,KGS,INR,1.00428
2025-09-18,KGS,INR,1.00754
2025-09-19,KGS,INR,1.00806
2025-09-20,KGS,INR,1.00744
2025-09-21,KGS,INR,1.00744
2025-09-22,KGS,INR,1.00919
2025-09-23,KGS,INR,1.0141
2025-09-24,KGS,INR,1.01492
2025-09-25,KGS,INR,1.01455
2025-09-26,KGS,INR,1.01428
2025-09-27,KGS,INR,1.014
2025-09-28,KGS,INR,1.01399
2025-09-29,KGS,INR,1.0148
2025-09-30,KGS,INR,1.01598
2025-10-01,KGS,INR,1.0146
2025-10-02,KGS,INR,1.01468
2025-10-03,KGS,INR,1.01498
2025-10-04,KGS,INR,1.01485
2025-10-05,KGS,INR,1.01483
2025-10-06,KGS,INR,1.01496
2025-10-07,KGS,INR,1.01478
2025-10-08,KGS,INR,1.01512
2025-10-09,KGS,INR,1.01562
2025-10-10,KGS,INR,1.01451
2025-10-11,KGS,INR,1.01495
2025-10-12,KGS,INR,1.01498
2025-10-13,KGS,INR,1.0142
2025-10-14,KGS,INR,1.01508
2025-10-15,KGS,INR,1.00813
2025-10-16,KGS,INR,1.00515
2025-10-17,KGS,INR,1.00592
2025-10-18,KGS,INR,1.00633
2025-10-19,KGS,INR,1.0063
2025-10-20,KGS,INR,1.00526
2025-10-21,KGS,INR,1.00614
2025-10-22,KGS,INR,1.0035
2025-10-23,KGS,INR,1.0044
2025-10-24,KGS,INR,1.00395
2025-10-25,KGS,INR,1.00424
2025-10-26,KGS,INR,1.00427
2025-10-27,KGS,INR,1.00786
2025-10-28,KGS,INR,1.00924
2025-10-29,KGS,INR,1.00949
2025-10-30,KGS,INR,1.01296
